id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
11,COMP_M,SimpleCase,ServiceA,M.A,0,14,0,9,Sensor,5.0,19.00088611111111,24.00088611111111,12.0,19.00088611111111
4,SINK_M,SimpleCase,Actuator,M.B,8,1,3,1,ServiceA,0,20.00004560915275,20.00004560915275,16.876578736192332,20.00004560915275
17,COMP_M,SimpleCase,ServiceA,M.A,0,8,0,3,Sensor,9.876543209876543,20.00014385964913,29.876687069525673,18.0,20.00014385964913
5,SINK_M,SimpleCase,Actuator,M.B,9,1,4,1,ServiceA,0,21.000050154607294,21.000050154607294,17.9379315320911,21.000050154607294
19,COMP_M,SimpleCase,ServiceA,M.A,0,7,0,2,Sensor,8.98876404494382,22.000016666666667,30.988780711610488,21.0,22.000016666666667
18,COMP_M,SimpleCase,ServiceA,M.A,0,9,0,4,Sensor,9.937888198757763,22.000018333333333,31.937906532091098,20.0,22.000018333333333
7,SINK_M,SimpleCase,Actuator,M.B,15,1,10,1,ServiceA,0,22.00005470006184,22.00005470006184,17.969328190287975,22.00005470006184
10,SINK_M,SimpleCase,Actuator,M.B,7,1,2,1,ServiceA,0,23.000059245516383,23.000059245516383,20.988839044943823,23.000059245516383
15,COMP_M,SimpleCase,ServiceA,M.A,0,12,0,7,Sensor,5.063291139240507,24.001374999999996,29.0646661392405,16.0,24.001374999999996
8,SINK_M,SimpleCase,Actuator,M.B,16,1,11,1,ServiceA,0,24.03209187580873,24.03209187580873,20.03199873386296,24.03209187580873
12,COMP_M,SimpleCase,ServiceA,M.A,0,4,0,14,Sensor,2.2857142857142856,25.00110774853801,27.286822034252296,13.0,25.00110774853801
9,SINK_M,SimpleCase,Actuator,M.B,13,1,8,1,ServiceA,0,26.032175209142064,26.032175209142064,21.938989938271607,26.032175209142064
20,COMP_M,SimpleCase,ServiceA,M.A,0,15,0,10,Sensor,4.968944099378882,27.001550757575753,31.970494856954634,22.0,27.001550757575753
13,SINK_M,SimpleCase,Actuator,M.B,10,1,5,1,ServiceA,0,27.03217975459661,27.03217975459661,24.93865700984305,27.03217975459661
22,COMP_M,SimpleCase,ServiceA,M.A,0,10,0,5,Sensor,8.938547486033519,28.000017857142858,36.93856534317638,26.0,28.000017857142858
14,COMP_M,SimpleCase,ServiceA,M.A,0,2,0,12,Sensor,2.2988505747126435,28.001152777777776,30.30000335249042,15.0,28.001152777777776
11,SINK_M,SimpleCase,Actuator,M.B,14,1,9,1,ServiceA,0,28.032258542475397,28.032258542475397,24.00088611111111,28.032258542475397
21,COMP_M,SimpleCase,ServiceA,M.A,0,16,0,11,Sensor,5.031446540880503,29.001718859649117,34.03316540052962,23.0,29.001718859649117
16,SINK_M,SimpleCase,Actuator,M.B,11,1,6,1,ServiceA,0,31.000144851576998,31.000144851576998,29.000135204081637,31.000144851576998
